param n1 := 28;
param n2 := 8;
param ADV := 1;
param MM := 1000;
param p
1 1.000000;
param Reward
[1,*,*]:  1   2   3   4   5   6   7   8:=
1   7.5    6    -6    -10    -3    -3    -8    -1    
2   7.5    -6    6    -10    -3    -3    -8    -1    
3   7.5    -6    -6    10    -3    -3    -8    -1    
4   7.5    -6    -6    -10    3    -3    -8    -1    
5   7.5    -6    -6    -10    -3    3    -8    -1    
6   7.5    -6    -6    -10    -3    -3    8    -1    
7   7.5    -6    -6    -10    -3    -3    -8    1    
8   -7.5    6    6    -10    -3    -3    -8    -1    
9   -7.5    6    -6    10    -3    -3    -8    -1    
10   -7.5    6    -6    -10    3    -3    -8    -1    
11   -7.5    6    -6    -10    -3    3    -8    -1    
12   -7.5    6    -6    -10    -3    -3    8    -1    
13   -7.5    6    -6    -10    -3    -3    -8    1    
14   -7.5    -6    6    10    -3    -3    -8    -1    
15   -7.5    -6    6    -10    3    -3    -8    -1    
16   -7.5    -6    6    -10    -3    3    -8    -1    
17   -7.5    -6    6    -10    -3    -3    8    -1    
18   -7.5    -6    6    -10    -3    -3    -8    1    
19   -7.5    -6    -6    10    3    -3    -8    -1    
20   -7.5    -6    -6    10    -3    3    -8    -1    
21   -7.5    -6    -6    10    -3    -3    8    -1    
22   -7.5    -6    -6    10    -3    -3    -8    1    
23   -7.5    -6    -6    -10    3    3    -8    -1    
24   -7.5    -6    -6    -10    3    -3    8    -1    
25   -7.5    -6    -6    -10    3    -3    -8    1    
26   -7.5    -6    -6    -10    -3    3    8    -1    
27   -7.5    -6    -6    -10    -3    3    -8    1    
28   -7.5    -6    -6    -10    -3    -3    8    1    
;
param AdvReward
[1,*,*]:  1   2   3   4   5   6   7   8:=
1   -7.5    -6    6 10 3 3 8 1 
2   -7.5    6 -6    10 3 3 8 1 
3   -7.5    6 6 -10    3 3 8 1 
4   -7.5    6 6 10 -3    3 8 1 
5   -7.5    6 6 10 3 -3    8 1 
6   -7.5    6 6 10 3 3 -8    1 
7   -7.5    6 6 10 3 3 8 -1    
8   7.5 -6    -6    10 3 3 8 1 
9   7.5 -6    6 -10    3 3 8 1 
10   7.5 -6    6 10 -3    3 8 1 
11   7.5 -6    6 10 3 -3    8 1 
12   7.5 -6    6 10 3 3 -8    1 
13   7.5 -6    6 10 3 3 8 -1    
14   7.5 6 -6    -10    3 3 8 1 
15   7.5 6 -6    10 -3    3 8 1 
16   7.5 6 -6    10 3 -3    8 1 
17   7.5 6 -6    10 3 3 -8    1 
18   7.5 6 -6    10 3 3 8 -1    
19   7.5 6 6 -10    -3    3 8 1 
20   7.5 6 6 -10    3 -3    8 1 
21   7.5 6 6 -10    3 3 -8    1 
22   7.5 6 6 -10    3 3 8 -1    
23   7.5 6 6 10 -3    -3    8 1 
24   7.5 6 6 10 -3    3 -8    1 
25   7.5 6 6 10 -3    3 8 -1    
26   7.5 6 6 10 3 -3    -8    1 
27   7.5 6 6 10 3 -3    8 -1    
28   7.5 6 6 10 3 3 -8    -1    
;
